"RecNo","ACSNno","College","Title","Author_1","Price","Unit","Dollar_value","Total","Status"
"1","B0000001","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","ISSUED"
"2","B0000002","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"3","B0000003","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"4","B0000004","","SHIP STABILITY 1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"5","B0000005","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"6","B0000006","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"7","B0000007","","SHIP  STABILITY 1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"8","B0000008","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"9","B0000009","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"10","B0000010","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"11","B0000011","","SHIP STABILITY  1","H.SUBRAMANIAM","300","RS.","VIJAYA PUB","","-"
"12","B0000012","","SHIPBORNE RADAR & ARPA","H.SUBRAMANIAM","360","RS.","VIJAYA PUB","","-"
"13","B0000013","","SHIPBORNE RADAR & ARPA","H.SUBRAMANIAM","360","RS.","VIJAYA PUB","","-"
"14","B0000014","","SHIPBORNE RADAR & ARPA","H.SUBRAMANIAM","360","RS.","VIJAYA PUB","","-"
"15","B0000015","","SHIPBORNE RADAR & ARPA","H.SUBRAMANIAM","360","RS.","VIJAYA PUB","","-"
"16","B0000016","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"17","B0000017","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"18","B0000018","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"19","B0000019","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"20","B0000020","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"21","B0000021","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"22","B0000022","","SHIP STABILITY  1","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"23","B0000023","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"24","B0000024","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"25","B0000025","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"26","B0000026","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"27","B0000027","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"28","B0000028","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"29","B0000029","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"30","B0000030","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"31","B0000031","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"32","B0000032","","SHIP STABILITY 2","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"33","B0000033","","SHIP STABILITY 3","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"34","B0000034","","SHIP STABILITY 3","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"35","B0000035","","SHIP STABILITY 3","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"36","B0000036","","SHIP STABILITY 3","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"37","B0000037","","SHIP STABILITY 3","H.SUBRAMANIAM","240","RS.","VIJAYA PUB","","-"
"38","B0000038","","SHIP STABILITY FOR MASTERS & MATES","C.B. BARRASS","500","RS.","ELSEVIER PUB","","-"
"39","B0000039","","SHIP STABILITY FOR MASTERS & MATES","C.B. BARRASS","500","RS.","ELSEVIER PUB","","-"
"40","B0000040","","SHIP STABILITY FOR MASTERS & MATES","C.B. BARRASS","500","RS.","ELSEVIER PUB","","-"
"41","B0000041","","SHIP STABILITY FOR MASTERS & MATES","C.B. BARRASS","500","RS.","ELSEVIER PUB","","-"
"42","B0000042","","SHIP STABILITY FOR MASTERS & MATES","C.B. BARRASS","500","RS.","ELSEVIER PUB","","-"
